,Unnamed: 0,CellID,Latitude,Longitude,RSLatitude,RSLongitude,RSDistance,RSCellID,ValidSnap,neighbors,ValidNeighbors
0,0,8312c9fffffffff,49.066718,-112.048207,49.074821,-112.022018,2110,8312c9fffffffff,True,"['8312cdfffffffff', '8312c8fffffffff', '8312cbfffffffff', '832796fffffffff', '832794fffffffff', '8327b2fffffffff']","['8312cbfffffffff', '832796fffffffff', '832794fffffffff']"
1,1,8312cafffffffff,49.003713,-114.769397,49.021127,-115.04576,20249,8312cafffffffff,True,"['8312cefffffffff', '8312ddfffffffff', '8312d9fffffffff', '83289bfffffffff', '8312cbfffffffff', '8312c8fffffffff']","['8312ddfffffffff', '8312d9fffffffff', '83289bfffffffff', '8312cbfffffffff']"
2,2,8312cbfffffffff,48.522323,-113.322838,48.527335,-113.307769,1242,8312cbfffffffff,True,"['8312c8fffffffff', '8312cafffffffff', '83289bfffffffff', '83289afffffffff', '832796fffffffff', '8312c9fffffffff']","['8312cafffffffff', '83289bfffffffff', '83289afffffffff', '832796fffffffff', '8312c9fffffffff']"
3,3,8312d8fffffffff,48.880254,-117.423357,48.857314,-117.387733,3646,8312d8fffffffff,True,"['8312dcfffffffff', '8312defffffffff', '8312dafffffffff', '8312dbfffffffff', '8312d9fffffffff', '8312ddfffffffff']","['8312defffffffff', '8312dafffffffff', '8312dbfffffffff', '8312d9fffffffff', '8312ddfffffffff']"
4,4,8312d9fffffffff,48.445312,-116.029638,48.437044,-115.973641,4232,8312d9fffffffff,True,"['8312ddfffffffff', '8312d8fffffffff', '8312dbfffffffff', '832899fffffffff', '83289bfffffffff', '8312cafffffffff']","['8312ddfffffffff', '8312d8fffffffff', '8312dbfffffffff', '832899fffffffff', '83289bfffffffff', '8312cafffffffff']"
5,5,8312dafffffffff,48.32184,-118.793286,48.328732,-118.74578,3595,8312dafffffffff,True,"['8312defffffffff', '8328d2fffffffff', '8328d6fffffffff', '83288bfffffffff', '8312dbfffffffff', '8312d8fffffffff']","['8312defffffffff', '8328d2fffffffff', '8328d6fffffffff', '83288bfffffffff', '8312dbfffffffff', '8312d8fffffffff']"
6,6,8312dbfffffffff,47.899502,-117.408801,47.903763,-117.408817,474,8312dbfffffffff,True,"['8312d8fffffffff', '8312dafffffffff', '83288bfffffffff', '83288afffffffff', '832899fffffffff', '8312d9fffffffff']","['8312d8fffffffff', '8312dafffffffff', '83288bfffffffff', '83288afffffffff', '832899fffffffff', '8312d9fffffffff']"
7,7,8312ddfffffffff,49.463946,-116.234705,49.08177,-116.522426,47346,8312ddfffffffff,True,"['8312c3fffffffff', '8312dcfffffffff', '8312d8fffffffff', '8312d9fffffffff', '8312cafffffffff', '8312cefffffffff']","['8312d8fffffffff', '8312d9fffffffff', '8312cafffffffff']"
8,8,8312defffffffff,49.30252,-118.882562,49.049965,-118.695671,31196,8312defffffffff,True,"['8312d1fffffffff', '8312d3fffffffff', '8328d2fffffffff', '8312dafffffffff', '8312d8fffffffff', '8312dcfffffffff']","['8328d2fffffffff', '8312dafffffffff', '8312d8fffffffff']"
9,9,832600fffffffff,43.422815,-97.424659,43.422819,-97.420898,304,832600fffffffff,True,"['832604fffffffff', '832606fffffffff', '832602fffffffff', '832603fffffffff', '832601fffffffff', '832605fffffffff']","['832604fffffffff', '832606fffffffff', '832602fffffffff', '832603fffffffff', '832601fffffffff', '832605fffffffff']"
