,Unnamed: 0,CellID,Latitude,Longitude,RSLatitude,RSLongitude,RSDistance,RSCellID,ValidSnap,neighbors,ValidNeighbors
0,0,8412c87ffffffff,49.187436,-113.638778,49.047197,-113.687518,15992,8412c87ffffffff,True,"['8412c81ffffffff', '8412c85ffffffff', '8412cabffffffff', '8412cbdffffffff', '8412cb9ffffffff', '8412c83ffffffff']","['8412cabffffffff', '8412cbdffffffff', '8412cb9ffffffff']"
1,1,8412c91ffffffff,49.066718,-112.048207,49.074821,-112.022018,2110,8412c91ffffffff,True,"['8412c99ffffffff', '8412c9dffffffff', '8412c95ffffffff', '8412c97ffffffff', '8412c93ffffffff', '8412c9bffffffff']","['8412c95ffffffff', '8412c97ffffffff', '8412c93ffffffff', '8412c9bffffffff']"
2,2,8412c93ffffffff,48.770008,-111.61323,48.770096,-111.862615,18277,8412c93ffffffff,True,"['8412c9bffffffff', '8412c91ffffffff', '8412c97ffffffff', '8427969ffffffff', '8427945ffffffff', '842794dffffffff']","['8412c9bffffffff', '8412c91ffffffff', '8412c97ffffffff', '8427969ffffffff', '8427945ffffffff', '842794dffffffff']"
3,3,8412c95ffffffff,48.983686,-112.624342,48.960892,-112.753612,9770,8412c95ffffffff,True,"['8412c9dffffffff', '8412c83ffffffff', '8412cb9ffffffff', '8412cbbffffffff', '8412c97ffffffff', '8412c91ffffffff']","['8412cb9ffffffff', '8412cbbffffffff', '8412c97ffffffff', '8412c91ffffffff']"
4,4,8412c97ffffffff,48.689861,-112.187765,48.734037,-112.204917,5071,8412c97ffffffff,True,"['8412c91ffffffff', '8412c95ffffffff', '8412cbbffffffff', '842796dffffffff', '8427969ffffffff', '8412c93ffffffff']","['8412c91ffffffff', '8412c95ffffffff', '8412cbbffffffff', '842796dffffffff', '8427969ffffffff', '8412c93ffffffff']"
5,5,8412c9bffffffff,49.147255,-111.467356,49.028343,-111.275124,19256,8412c9bffffffff,True,"['8427b25ffffffff', '8412c99ffffffff', '8412c91ffffffff', '8412c93ffffffff', '842794dffffffff', '8427b27ffffffff']","['8412c91ffffffff', '8412c93ffffffff', '842794dffffffff']"
6,6,8412ca1ffffffff,49.003713,-114.769397,49.021127,-115.04576,20249,8412ca1ffffffff,True,"['8412ca9ffffffff', '8412cadffffffff', '8412ca5ffffffff', '8412ca7ffffffff', '8412ca3ffffffff', '8412cabffffffff']","['8412ca5ffffffff', '8412ca7ffffffff', '8412ca3ffffffff', '8412cabffffffff']"
7,7,8412ca3ffffffff,48.720278,-114.323897,48.621028,-114.142189,17316,8412ca3ffffffff,True,"['8412cabffffffff', '8412ca1ffffffff', '8412ca7ffffffff', '84289b7ffffffff', '8412cb5ffffffff', '8412cbdffffffff']","['8412cabffffffff', '8412ca1ffffffff', '8412ca7ffffffff', '84289b7ffffffff', '8412cb5ffffffff', '8412cbdffffffff']"
8,8,8412ca5ffffffff,48.908486,-115.327165,48.850165,-115.232992,9459,8412ca5ffffffff,True,"['8412cadffffffff', '8412dd3ffffffff', '8412d99ffffffff', '8412d9bffffffff', '8412ca7ffffffff', '8412ca1ffffffff']","['8412dd3ffffffff', '8412d99ffffffff', '8412d9bffffffff', '8412ca7ffffffff', '8412ca1ffffffff']"
9,9,8412ca7ffffffff,48.62792,-114.880637,48.674491,-114.770277,9620,8412ca7ffffffff,True,"['8412ca1ffffffff', '8412ca5ffffffff', '8412d9bffffffff', '84289b3ffffffff', '84289b7ffffffff', '8412ca3ffffffff']","['8412ca1ffffffff', '8412ca5ffffffff', '8412d9bffffffff', '84289b3ffffffff', '84289b7ffffffff', '8412ca3ffffffff']"
10,10,8412cabffffffff,49.096718,-114.206587,49.047355,-113.688833,38113,8412c87ffffffff,False,"['8412c85ffffffff', '8412ca9ffffffff', '8412ca1ffffffff', '8412ca3ffffffff', '8412cbdffffffff', '8412c87ffffffff']","['8412ca1ffffffff', '8412ca3ffffffff', '8412cbdffffffff', '8412c87ffffffff']"
11,11,8412cb1ffffffff,48.522323,-113.322838,48.527335,-113.307769,1242,8412cb1ffffffff,True,"['8412cb9ffffffff', '8412cbdffffffff', '8412cb5ffffffff', '8412cb7ffffffff', '8412cb3ffffffff', '8412cbbffffffff']","['8412cb9ffffffff', '8412cbdffffffff', '8412cb5ffffffff', '8412cb7ffffffff', '8412cb3ffffffff', '8412cbbffffffff']"
12,12,8412cb3ffffffff,48.232547,-112.888357,48.434267,-112.705483,26189,8412cbbffffffff,False,"['8412cbbffffffff', '8412cb1ffffffff', '8412cb7ffffffff', '84289a7ffffffff', '8427965ffffffff', '842796dffffffff']","['8412cbbffffffff', '8412cb1ffffffff', '8412cb7ffffffff', '84289a7ffffffff', '8427965ffffffff', '842796dffffffff']"
13,13,8412cb5ffffffff,48.435058,-113.883272,48.460105,-113.827314,4979,8412cb5ffffffff,True,"['8412cbdffffffff', '8412ca3ffffffff', '84289b7ffffffff', '84289b5ffffffff', '8412cb7ffffffff', '8412cb1ffffffff']","['8412cbdffffffff', '8412ca3ffffffff', '84289b7ffffffff', '84289b5ffffffff', '8412cb7ffffffff', '8412cb1ffffffff']"
14,14,8412cb7ffffffff,48.148117,-113.447493,48.241919,-113.489888,10893,8412cb7ffffffff,True,"['8412cb1ffffffff', '8412cb5ffffffff', '84289b5ffffffff', '84289a3ffffffff', '84289a7ffffffff', '8412cb3ffffffff']","['8412cb1ffffffff', '8412cb5ffffffff', '84289b5ffffffff', '84289a3ffffffff', '84289a7ffffffff', '8412cb3ffffffff']"
15,15,8412cb9ffffffff,48.898226,-113.195704,48.861154,-113.217383,4417,8412cb9ffffffff,True,"['8412c83ffffffff', '8412c87ffffffff', '8412cbdffffffff', '8412cb1ffffffff', '8412cbbffffffff', '8412c95ffffffff']","['8412c87ffffffff', '8412cbdffffffff', '8412cb1ffffffff', '8412cbbffffffff', '8412c95ffffffff']"
16,16,8412cbbffffffff,48.607278,-112.757652,48.606746,-112.757354,63,8412cbbffffffff,True,"['8412c95ffffffff', '8412cb9ffffffff', '8412cb1ffffffff', '8412cb3ffffffff', '842796dffffffff', '8412c97ffffffff']","['8412c95ffffffff', '8412cb9ffffffff', '8412cb1ffffffff', '8412cb3ffffffff', '842796dffffffff', '8412c97ffffffff']"
