table,column,type,nullable
planet_osm_line,osm_id,BIGINT,True
planet_osm_line,access,TEXT,True
planet_osm_line,addr:housename,TEXT,True
planet_osm_line,addr:housenumber,TEXT,True
planet_osm_line,addr:interpolation,TEXT,True
planet_osm_line,admin_level,TEXT,True
planet_osm_line,aerialway,TEXT,True
planet_osm_line,aeroway,TEXT,True
planet_osm_line,amenity,TEXT,True
planet_osm_line,area,TEXT,True
planet_osm_line,barrier,TEXT,True
planet_osm_line,bicycle,TEXT,True
planet_osm_line,brand,TEXT,True
planet_osm_line,bridge,TEXT,True
planet_osm_line,boundary,TEXT,True
planet_osm_line,building,TEXT,True
planet_osm_line,construction,TEXT,True
planet_osm_line,covered,TEXT,True
planet_osm_line,culvert,TEXT,True
planet_osm_line,cutting,TEXT,True
planet_osm_line,denomination,TEXT,True
planet_osm_line,disused,TEXT,True
planet_osm_line,embankment,TEXT,True
planet_osm_line,foot,TEXT,True
planet_osm_line,generator:source,TEXT,True
planet_osm_line,harbour,TEXT,True
planet_osm_line,highway,TEXT,True
planet_osm_line,historic,TEXT,True
planet_osm_line,horse,TEXT,True
planet_osm_line,intermittent,TEXT,True
planet_osm_line,junction,TEXT,True
planet_osm_line,landuse,TEXT,True
planet_osm_line,layer,TEXT,True
planet_osm_line,leisure,TEXT,True
planet_osm_line,lock,TEXT,True
planet_osm_line,man_made,TEXT,True
planet_osm_line,military,TEXT,True
planet_osm_line,motorcar,TEXT,True
planet_osm_line,name,TEXT,True
planet_osm_line,natural,TEXT,True
planet_osm_line,office,TEXT,True
planet_osm_line,oneway,TEXT,True
planet_osm_line,operator,TEXT,True
planet_osm_line,place,TEXT,True
planet_osm_line,population,TEXT,True
planet_osm_line,power,TEXT,True
planet_osm_line,power_source,TEXT,True
planet_osm_line,public_transport,TEXT,True
planet_osm_line,railway,TEXT,True
planet_osm_line,ref,TEXT,True
planet_osm_line,religion,TEXT,True
planet_osm_line,route,TEXT,True
planet_osm_line,service,TEXT,True
planet_osm_line,shop,TEXT,True
planet_osm_line,sport,TEXT,True
planet_osm_line,surface,TEXT,True
planet_osm_line,toll,TEXT,True
planet_osm_line,tourism,TEXT,True
planet_osm_line,tower:type,TEXT,True
planet_osm_line,tracktype,TEXT,True
planet_osm_line,tunnel,TEXT,True
planet_osm_line,water,TEXT,True
planet_osm_line,waterway,TEXT,True
planet_osm_line,wetland,TEXT,True
planet_osm_line,width,TEXT,True
planet_osm_line,wood,TEXT,True
planet_osm_line,z_order,INTEGER,True
planet_osm_line,way_area,REAL,True
planet_osm_line,tags,HSTORE,True
planet_osm_line,way,NULL,True
planet_osm_point,osm_id,BIGINT,True
planet_osm_point,access,TEXT,True
